DeerNo,Date,hh,StartCryTime(Sec),EndCtyTime(Sec),CryDuration(Sec),AnalysisStartTime,AnalysisEndTime,DNN_StartTime,DNN_EndTime,time_delay_POI3_POI1,time_delay_POI3_POI2,time_delay_POI1_POI2
20.0,20221011.0,22.0,1254.6002721088435,1256.5826757369614,1.9853061224489796,55305822.0,55481446.0,55252514.0,55539164.0,-0.04131542799309207,0.13514816182153133,0.014830016414644653
21.0,20221011.0,22.0,1256.6204081632652,1262.6895238095237,6.072018140589569,55394910.0,55750758.0,55431714.0,55718364.0,-0.9212497544184552,-0.8686872484312556,-0.6373033782442885
22.0,20221011.0,22.0,1264.5703401360545,1266.2770068027212,1.7095691609977324,55745502.0,55908966.0,55686114.0,55972764.0,0.99079971206532,0.12099847264110775,-0.5589149838189682
23.0,20221011.0,22.0,1305.24589569161,1306.8683900226758,1.6253968253968254,57539294.0,57699046.0,57478050.0,57764700.0,0.2035160131787297,0.9225681332787308,0.5164431420775002
24.0,20221011.0,22.0,1332.2478004535146,1336.0123356009071,3.767437641723356,58730078.0,58984294.0,58716066.0,59002716.0,-0.10986437774763669,0.24065854304141965,-0.7168962440643041
25.0,20221011.0,22.0,1351.061768707483,1354.109387755102,3.0505215419501135,59559774.0,59782374.0,59529954.0,59816604.0,-0.24156571105119795,-1.5026144600401445,-1.1700052560883019
26.0,20221011.0,22.0,1355.8102494331065,1364.175238095238,8.367891156462585,59769182.0,60226278.0,-999.0,-999.0,-1.730933492020581,5.645794664367024,0.09265326392428186
27.0,20221011.0,22.0,1364.9705215419501,1369.2865306122449,4.31891156462585,60173150.0,60451686.0,60171298.0,60457948.0,0.927690405424201,0.49412875814814505,1.3519776429860357
28.0,20221011.0,22.0,1432.6334693877552,1434.5839455782314,1.9533786848072563,63157086.0,63331302.0,63103074.0,63389724.0,1.6372656337339055,0.12757442842246114,0.2921105202520691
29.0,20221011.0,22.0,1502.357188208617,1506.554195011338,4.199909297052154,66231902.0,66505190.0,66227426.0,66514076.0,-0.6458527034037553,-0.5440382718932266,0.5815894297064643
30.0,20221011.0,22.0,1512.5797732426304,1514.109387755102,1.5325170068027212,66682718.0,66838374.0,66619426.0,66906076.0,-1.0964242774535315,0.4891641403298226,2.1841410159729517
31.0,20221011.0,22.0,1532.4154195011338,1536.7778684807256,4.365351473922902,67557470.0,67838054.0,67556642.0,67843292.0,-0.5635167475999499,1.0273279244302342,0.029025046755782213
32.0,20221011.0,22.0,1667.700680272109,1669.90947845805,2.211700680272109,73523550.0,73709158.0,73475234.0,73761884.0,-1.902640636342213,0.09367397407491396,-0.18646358964367238
33.0,20221011.0,22.0,1750.857142857143,1754.7493877551021,3.8951473922902493,77190750.0,77450598.0,77179554.0,77466204.0,-0.46002444609673443,3.289876606351476,1.2690071512254892
34.0,20221011.0,22.0,1756.194829931973,1758.14820861678,1.956281179138322,77426142.0,77600486.0,77372194.0,77658844.0,0.11623649437214034,-0.3804103452179124,0.6675321734933783
35.0,20221011.0,22.0,1795.256598639456,1798.9834013605441,3.729705215419501,79148766.0,79401318.0,79133922.0,79420572.0,0.9600945045194207,3.8472941452358898,2.655815504577684
36.0,20221011.0,22.0,1821.9972789115645,1824.7894784580499,2.7951020408163267,80328030.0,80539366.0,80292578.0,80579228.0,-1.865314948749036,1.3431129313074903,1.0287577023443504
37.0,20221011.0,22.0,1880.2445351473923,1883.591111111111,3.3494784580498864,82896734.0,83132518.0,82873506.0,83160156.0,-0.2960783532242637,0.15161062033066042,0.7200484053215348
38.0,20221011.0,22.0,1919.0886167800454,1921.1784126984128,2.0926984126984127,84609758.0,84790118.0,84558818.0,84845468.0,-0.15537501113142715,-0.14256314871326392,-0.03138339395882905
39.0,20221011.0,22.0,1922.1072108843537,1924.3566439909298,2.2523356009070294,84742878.0,84930278.0,84695458.0,84982108.0,-0.10469443621930274,1.7945447234046892,0.547259156100643
40.0,20221011.0,22.0,1925.871746031746,1927.9818594104308,2.1130158730158732,84908894.0,85090150.0,84858402.0,85145052.0,-0.05764204137053763,1.4534547308132746,1.8818697928170378
41.0,20221011.0,22.0,1930.0890702947845,1931.9524716553287,1.8663038548752835,85094878.0,85265254.0,85038946.0,85325596.0,-0.5139259189163563,0.6532691404015751,1.8826867871491957
42.0,20221011.0,22.0,2007.9368707482993,2011.0193197278911,3.0853514739229024,88527966.0,88752102.0,88498914.0,88785564.0,0.40748481122210034,1.8717543827221483,2.056743870198491
43.0,20221011.0,22.0,2032.4542403628118,2035.5831292517007,3.1317913832199546,89609182.0,89835366.0,89581154.0,89867804.0,0.037619213940334184,0.37925337742742204,0.3091396887574316
44.0,20221011.0,22.0,2124.2020861678006,2128.097233560091,3.8980498866213154,93655262.0,93915238.0,93644130.0,93930780.0,-0.8489828574568596,0.04049902199300082,-0.40403783531427173
45.0,20221011.0,22.0,2290.8778231292517,2294.1663492063494,3.2914285714285714,101005662.0,101238886.0,100981154.0,101267804.0,0.08576000490338753,-0.7608422645487476,2.618378573821831
46.0,20221011.0,22.0,2344.161814058957,2347.24716553288,3.0882539682539685,103355486.0,103579750.0,103326498.0,103613148.0,-0.22700781495584277,-0.05199569670300086,0.3794347984872761
47.0,20221011.0,22.0,2433.5760544217687,2436.0809070294786,2.507755102040816,107298654.0,107497318.0,107256866.0,107543516.0,0.4192538110465742,-0.588914529000518,-0.41743974295832054
48.0,20221011.0,22.0,2436.844263038549,2443.470657596372,6.629297052154195,107442782.0,107823206.0,-999.0,-999.0,-0.12981893535232558,-1.4043120814619163,1.2384386295663248
49.0,20221011.0,22.0,2446.167074829932,2448.407800453515,2.243628117913832,107853918.0,108040934.0,107806306.0,108092956.0,-0.28031895922107974,0.08480770971419105,-0.4243106588695067
50.0,20221011.0,22.0,2501.8659410430837,2503.4419954648524,1.5789569160997732,110310238.0,110467942.0,110247970.0,110534620.0,0.8727492982697478,-1.0504601757001155,0.3684603862914453
51.0,20221011.0,22.0,2539.3835827664398,2543.838911564626,4.458231292517007,111964766.0,112249446.0,111965986.0,112252636.0,0.06115667741107522,1.884156278369912,1.1588249323009228
52.0,20221011.0,22.0,2563.578775510204,2571.821859410431,8.245986394557823,113031774.0,113483494.0,-999.0,-999.0,-1.376306901689464,2.2182588789483777,4.679330086808376
53.0,20221011.0,22.0,2572.36462585034,2576.4861678004536,4.124444444444444,113419230.0,113689190.0,113413090.0,113699740.0,-0.126463053485093,1.6455843269523447,2.996314953982388
54.0,20221011.0,22.0,2630.710566893424,2635.351655328798,4.6439909297052155,115992286.0,116285158.0,115997602.0,116284252.0,-0.026666757719269185,0.9607289039540685,1.5713205579564091
55.0,20221011.0,22.0,2661.723718820862,2665.700136054422,3.9793197278911565,117359966.0,117623526.0,117350626.0,117637276.0,0.03775524529186125,1.0074414641602365,0.10786889000203193
56.0,20221011.0,22.0,2699.0614058956917,2701.9406802721087,2.8821768707482995,119006558.0,119221734.0,118973026.0,119259676.0,-0.41796112608863645,-0.24281291982189224,0.07172368933476392
57.0,20221011.0,22.0,2777.867029478458,2781.5473922902493,3.683265306122449,122481886.0,122732390.0,122466018.0,122752668.0,0.008072594583688364,0.2850351514521492,0.04233576990940069
58.0,20221011.0,22.0,2804.349387755102,2807.9891156462586,3.642630385487528,123649758.0,123898470.0,123632994.0,123919644.0,0.40263200435595525,-0.09081669167862216,-0.7694588760875565
59.0,20221011.0,22.0,2834.8371882086167,2836.520634920635,1.6863492063492063,124994270.0,125156710.0,124934370.0,125221020.0,0.42918631559149834,-0.08489848182884607,0.687645956586473
60.0,20221011.0,22.0,2846.3107482993196,2848.0812698412697,1.773424036281179,125500254.0,125666534.0,125442274.0,125728924.0,-0.32576159630293233,0.8483270972636094,0.44319994429491993
61.0,20221011.0,22.0,2850.690612244898,2852.545306122449,1.8575963718820863,125693406.0,125863398.0,125637282.0,125923932.0,0.00866218247568673,0.6295501886714527,-0.6071464287605144
62.0,20221011.0,22.0,2859.827664399093,2864.5848526077098,4.760090702947846,126096350.0,126394342.0,126104226.0,126390876.0,0.6007276395014474,-1.4070115243630266,-1.2850836775564707
63.0,20221011.0,22.0,2868.4161451247164,2871.129977324263,2.716734693877551,126475102.0,126682982.0,126437922.0,126724572.0,0.9861725444045648,0.030725771388093293,-0.3120649932420241
64.0,20221011.0,22.0,2873.338775510204,2875.6607709750565,2.3248979591836734,126692190.0,126882790.0,126646370.0,126933020.0,1.8349302620468784,2.699492621180113,0.8624535045315245
65.0,20221011.0,22.0,2876.206439909297,2878.9347845804987,2.7312471655328796,126818654.0,127027174.0,126781794.0,127068444.0,-2.0886041206335415,2.6792872254831526,0.9622495126221065
66.0,20221011.0,22.0,2879.9680725623584,2883.128888888889,3.163718820861678,126984542.0,127212134.0,126957218.0,127243868.0,0.06240390230989945,2.69139504548035,0.7075087776058
67.0,20221011.0,22.0,3032.0848979591838,3037.5386848072562,5.456689342403628,133692894.0,134021606.0,133716130.0,134002780.0,-0.790206485580442,4.261668293546334,-0.725512411218614
68.0,20221011.0,22.0,3049.0354648526077,3051.525804988662,2.4932426303854873,134440414.0,134638438.0,134398306.0,134684956.0,0.20764277192977776,-0.12775574719366212,0.6349465170695314
