Hourly_Folder,clip_name,resnet50,efficientnet-b2,mobilenet_v2,3models
221011_10pm,DeerSoundNo36_POI1_20221011_22_S1820.69_E1827.19_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo36_POI2_20221011_22_S1820.69_E1827.19_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo36_POI3_20221011_22_S1820.69_E1827.19_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo37_POI1_20221011_22_S1879.22_E1885.72_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo37_POI2_20221011_22_S1879.22_E1885.72_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo37_POI3_20221011_22_S1879.22_E1885.72_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo38_POI1_20221011_22_S1917.43_E1923.93_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo38_POI2_20221011_22_S1917.43_E1923.93_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo38_POI3_20221011_22_S1917.43_E1923.93_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo39_POI1_20221011_22_S1920.53_E1927.03_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo39_POI2_20221011_22_S1920.53_E1927.03_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo39_POI3_20221011_22_S1920.53_E1927.03_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo40_POI1_20221011_22_S1924.23_E1930.73_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo40_POI2_20221011_22_S1924.23_E1930.73_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo40_POI3_20221011_22_S1924.23_E1930.73_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo41_POI1_20221011_22_S1928.32_E1934.82_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo41_POI2_20221011_22_S1928.32_E1934.82_D6.5.wav,1,1,1,1
